postcode_heuristic, commute_time
493.40131369724196, 0.58
1847.2375341861357, 0.45
264.55771077168606, 0.0
1307.8741226295156, 0.53
923.9084208862872, 0.23
792.0262740659265, 0.19
856.3581720818565, 0.14
118.35635125142511, 0.0
4514.671680461577, 3.3
992.7957217456558, 0.72
460.0484183167487, 0.14
1230.5796869615135, 1.24
1035.3022080713179, 0.46
618.9630818524637, 0.48
2690.8879925594874, 0.53
933.1076948781863, 0.12
859.7832201048363, 0.5
1900.0134666509882, 0.76
1141.4249155405278, 0.82
495.70235560871356, 0.07
145.9125017522844, 0.0
1816.5082498862932, 1.91
30.038717348140853, 0.0
2220.2608843924713, 3.32
792.7628437820013, 0.26
619.7466011186823, 0.28
1727.462168535514, 0.3
6457.309911123341, 3.9
0.0, 0.0
554.7590417900923, 0.16
208.8113246135564, 0.05
1463.784360090418, 0.85
795.0584591686422, 0.63
469.610460947565, 0.16
791.2625169315959, 0.11
440.3164318494074, 0.0
1002.5948394250308, 0.55
